_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,cost
0,26,2021-04-16,4,period_0_30,A,366428456,366416066,116,32575820,,4,Nguyễn Văn Bá,tertiary,106.7687324,10.8415062,106.769254,10.8424219,22.40662857142857
1,33,2020-08-02,6,period_23_30,C,366469460,3792257828,26,32575862,,3,Đường số 5,secondary,106.7619572,10.87865,106.7621428,10.8788077,4.500557142857143
2,33,2020-08-03,0,period_0_00,D,366469460,3792257828,26,32575862,,3,Đường số 5,secondary,106.7619572,10.87865,106.7621428,10.8788077,3.0003714285714285
3,67,2021-03-09,1,period_9_30,B,366403668,5755066033,7,32575862,,3,Đường số 5,secondary,106.7684119,10.880817,106.7684611,10.8807714,9.30025
4,67,2021-03-23,1,period_9_30,B,366403668,5755066033,7,32575862,,3,Đường số 5,secondary,106.7684119,10.880817,106.7684611,10.8807714,9.30025
5,70,2020-08-02,6,period_23_30,D,5816921541,4614188871,8,32575864,40.0,3,Châu Văn Liêm,secondary,106.6590317,10.7519402,106.6590192,10.7520169,3.000114285714286
6,70,2020-08-03,0,period_0_00,E,5816921541,4614188871,8,32575864,40.0,3,Châu Văn Liêm,secondary,106.6590317,10.7519402,106.6590192,10.7520169,2.100057142857143
7,71,2020-08-02,6,period_23_30,E,366441747,5738173336,43,32575869,,4,Lê Văn Thịnh,unclassified,106.7657368,10.7765916,106.7659642,10.7769125,3.500307142857143
8,71,2020-08-03,0,period_0_00,C,366441747,5738173336,43,32575869,,4,Lê Văn Thịnh,unclassified,106.7657368,10.7765916,106.7659642,10.7769125,5.900921428571428
9,161,2020-09-11,4,period_0_30,A,3202462316,3202462317,21,32575935,,3,Tân Phú,primary_link,106.7236203,10.7336193,106.7238132,10.7336036,21.0012
10,173,2020-12-28,0,period_4_30,A,2299416638,4639027499,9,32575943,,4,Lê Minh Xuân,tertiary,106.651613,10.786231,106.6516988,10.7862517,22.400514285714284
11,173,2020-12-28,0,period_7_30,A,2299416638,4639027499,9,32575943,,4,Lê Minh Xuân,tertiary,106.651613,10.786231,106.6516988,10.7862517,22.400514285714284
12,175,2020-12-09,2,period_14_00,A,4639027499,4639027501,67,32575943,,4,Lê Minh Xuân,tertiary,106.6516988,10.7862517,106.6522962,10.7864133,22.40382857142857
13,175,2020-12-27,6,period_3_00,A,4639027499,4639027501,67,32575943,,4,Lê Minh Xuân,tertiary,106.6516988,10.7862517,106.6522962,10.7864133,22.40382857142857
14,175,2020-12-27,6,period_4_00,A,4639027499,4639027501,67,32575943,,4,Lê Minh Xuân,tertiary,106.6516988,10.7862517,106.6522962,10.7864133,22.40382857142857
15,177,2020-12-09,2,period_14_30,A,4639027501,5772608672,25,32575943,,4,Lê Minh Xuân,tertiary,106.6522962,10.7864133,106.652518,10.7864733,22.40142857142857
16,177,2020-12-27,6,period_4_30,A,4639027501,5772608672,25,32575943,,4,Lê Minh Xuân,tertiary,106.6522962,10.7864133,106.652518,10.7864733,22.40142857142857
17,177,2020-12-28,0,period_4_00,A,4639027501,5772608672,25,32575943,,4,Lê Minh Xuân,tertiary,106.6522962,10.7864133,106.652518,10.7864733,22.40142857142857
18,177,2020-12-28,0,period_5_00,A,4639027501,5772608672,25,32575943,,4,Lê Minh Xuân,tertiary,106.6522962,10.7864133,106.652518,10.7864733,22.40142857142857
19,177,2020-12-28,0,period_6_30,A,4639027501,5772608672,25,32575943,,4,Lê Minh Xuân,tertiary,106.6522962,10.7864133,106.652518,10.7864733,22.40142857142857
20,177,2020-12-28,0,period_7_00,A,4639027501,5772608672,25,32575943,,4,Lê Minh Xuân,tertiary,106.6522962,10.7864133,106.652518,10.7864733,22.40142857142857
21,177,2020-12-28,0,period_7_30,A,4639027501,5772608672,25,32575943,,4,Lê Minh Xuân,tertiary,106.6522962,10.7864133,106.652518,10.7864733,22.40142857142857
22,179,2020-12-28,0,period_5_30,A,5772608672,366430703,47,32575943,,4,Lê Minh Xuân,tertiary,106.652518,10.7864733,106.6529364,10.7865865,22.402685714285713
