edge_id,source_node_id,target_node_id,distance_m,estimated_time_s,congestion_level,los,congestion_factor,free_flow_speed_kph,actual_speed_kph,road_type,street_name,street_level,traffic_date,time_period,traffic_source
289,2380787693,571360922,10.000,1.200,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
290,571360922,2380787693,10.000,1.200,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
291,571360922,2027430774,129.000,15.480,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
292,2027430774,571360922,129.000,15.480,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
293,2027430774,1588330159,17.000,2.040,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
294,1588330159,2027430774,17.000,2.040,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
295,1588330159,1767169484,64.000,7.680,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
296,1767169484,1588330159,64.000,7.680,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
297,1767169484,1779408275,38.000,4.560,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
298,1779408275,1767169484,38.000,4.560,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
299,1779408275,2027431006,15.000,4.909,gridlock,F,8.00,30.00,11.00,tertiary,Nguyễn Khoái,4,2020-08-03,period_1_00,train_los+latest_segment_status
300,2027431006,1779408275,15.000,1.800,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
301,2027431006,5811504011,7.000,0.840,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
302,5811504011,2027431006,7.000,0.840,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
303,5811504011,1588330158,45.000,5.400,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
304,1588330158,5811504011,45.000,5.400,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
305,1588330158,1780010929,53.000,6.360,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
306,1780010929,1588330158,53.000,6.360,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
307,1780010929,1780010853,100.000,12.000,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
308,1780010853,1780010929,100.000,12.000,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
309,1780010853,366422916,95.000,3.196,moderate,C,1.75,30.00,107.00,tertiary,Nguyễn Khoái,4,2020-11-27,period_12_00,train_los+latest_segment_status
310,366422916,1780010853,95.000,11.400,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
311,366422916,366445426,39.000,4.680,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
312,366445426,366422916,39.000,4.680,free_flow,A,1.00,30.00,30.00,tertiary,Nguyễn Khoái,4,,,road_type_defaults
631,5735791255,5735791253,8.000,0.960,free_flow,A,1.00,30.00,30.00,tertiary,Cầu Calmette,4,,,road_type_defaults
632,5735791253,5735791252,3.000,0.360,free_flow,A,1.00,30.00,30.00,tertiary,Cầu Calmette,4,,,road_type_defaults
633,5735791252,1767203799,11.000,1.320,free_flow,A,1.00,30.00,30.00,tertiary,Cầu Calmette,4,,,road_type_defaults
940,366399988,5668712845,9.000,1.080,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
941,5668712845,366399988,9.000,1.080,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
942,5668712845,366383330,19.000,2.280,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
943,366383330,5668712845,19.000,2.280,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
944,366383330,5762878315,58.000,6.960,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
945,5762878315,366383330,58.000,6.960,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
946,5762878315,3628501759,26.000,3.120,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
947,3628501759,5762878315,26.000,3.120,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
948,3628501759,366424988,6.000,0.720,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
949,366424988,3628501759,6.000,0.720,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
950,366424988,366381771,27.000,3.240,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
951,366381771,366424988,27.000,3.240,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
952,366381771,5762878289,40.000,4.800,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
953,5762878289,366381771,40.000,4.800,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
954,5762878289,366433080,5.000,0.600,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
955,366433080,5762878289,5.000,0.600,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
956,366433080,5762878304,56.000,6.720,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
957,5762878304,366433080,56.000,6.720,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
958,5762878304,5762878291,37.000,4.440,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
959,5762878291,5762878304,37.000,4.440,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
960,5762878291,5762787758,26.000,3.120,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
961,5762787758,5762878291,26.000,3.120,free_flow,A,1.00,30.00,30.00,tertiary,Tạ Quang Bửu,4,,,road_type_defaults
2014,366406323,1997154359,29.000,3.480,free_flow,A,1.00,30.00,30.00,tertiary,Đào Tấn,4,,,road_type_defaults
2015,1997154359,366406323,29.000,3.480,free_flow,A,1.00,30.00,30.00,tertiary,Đào Tấn,4,,,road_type_defaults
2016,1997154359,366423107,44.000,5.280,free_flow,A,1.00,30.00,30.00,tertiary,Đào Tấn,4,,,road_type_defaults
2017,366423107,1997154359,44.000,5.280,free_flow,A,1.00,30.00,30.00,tertiary,Đào Tấn,4,,,road_type_defaults
2018,366423107,4618374501,32.000,3.840,free_flow,A,1.00,30.00,30.00,tertiary,Đào Tấn,4,,,road_type_defaults
2019,4618374501,366423107,32.000,3.840,free_flow,A,1.00,30.00,30.00,tertiary,Đào Tấn,4,,,road_type_defaults
2020,4618374501,1996654136,17.000,2.040,free_flow,A,1.00,30.00,30.00,tertiary,Đào Tấn,4,,,road_type_defaults
2021,1996654136,4618374501,17.000,2.040,free_flow,A,1.00,30.00,30.00,tertiary,Đào Tấn,4,,,road_type_defaults
2817,5813867127,706286111,7.000,1.096,heavy,D,2.50,30.00,23.00,tertiary,Huỳnh Mẫn Đạt,4,2021-03-23,period_10_30,train_los+latest_segment_status
2818,706286111,5813867127,7.000,0.840,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2819,706286111,5813867373,13.000,1.560,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2820,5813867373,706286111,13.000,1.560,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2821,5813867373,4109567455,13.000,1.560,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2822,4109567455,5813867373,13.000,1.560,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2823,4109567455,1997154735,61.000,7.320,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2824,1997154735,4109567455,61.000,7.320,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2825,1997154735,5813867374,3.000,0.360,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2826,5813867374,1997154735,3.000,0.360,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2827,5813867374,5794854822,72.000,8.640,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2828,5794854822,5813867374,72.000,8.640,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2829,5794854822,5794854823,85.000,10.200,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2830,5794854823,5794854822,85.000,10.200,free_flow,A,1.00,30.00,30.00,tertiary,Huỳnh Mẫn Đạt,4,,,road_type_defaults
2831,734894535,3150110710,75.000,5.400,free_flow,A,1.00,50.00,50.00,primary,Nguyễn Tri Phương,2,,,road_type_defaults
2832,3150110710,366466460,12.000,2.057,heavy,D,2.50,50.00,21.00,primary,Nguyễn Tri Phương,2,2021-01-04,period_0_00,train_los+latest_segment_status
2833,366466460,366403515,86.000,10.676,moderate,C,1.75,50.00,29.00,primary,Nguyễn Tri Phương,2,2020-08-03,period_0_00,train_los+latest_segment_status
2834,366403515,4620534189,64.000,6.583,severe,E,4.00,50.00,35.00,primary,Nguyễn Tri Phương,2,2020-08-03,period_0_00,train_los+latest_segment_status
2835,4620534189,4620515587,23.000,10.350,severe,E,4.00,50.00,8.00,primary,Nguyễn Tri Phương,2,2020-08-03,period_0_00,train_los+latest_segment_status
2836,4620515587,3160545657,22.000,2.200,moderate,C,1.75,50.00,36.00,primary,Nguyễn Tri Phương,2,2020-08-03,period_0_00,train_los+latest_segment_status
2837,3160545657,4631390892,47.000,5.834,moderate,C,1.75,50.00,29.00,primary,Nguyễn Tri Phương,2,2021-01-04,period_0_00,train_los+latest_segment_status
2838,4631390892,5802993758,5.000,0.643,heavy,D,2.50,50.00,28.00,primary,Nguyễn Tri Phương,2,2020-08-03,period_0_00,train_los+latest_segment_status
2839,5802993758,5802993759,5.000,0.692,heavy,D,2.50,50.00,26.00,primary,Nguyễn Tri Phương,2,2020-08-03,period_0_00,train_los+latest_segment_status
2840,4629703848,4629359728,16.000,2.743,heavy,D,2.50,40.00,21.00,secondary,Nguyễn Tri Phương,3,2021-01-03,period_23_30,train_los+latest_segment_status
2841,4629359728,366473501,25.000,2.812,moderate,C,1.75,40.00,32.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2842,366473501,366475341,31.000,37.200,heavy,D,2.50,40.00,3.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2843,366475341,2841256319,35.000,3.706,light,B,1.25,40.00,34.00,secondary,Nguyễn Tri Phương,3,2021-01-03,period_1_30,train_los+latest_segment_status
2844,2841256319,366405533,34.000,3.948,heavy,D,2.50,40.00,31.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2845,366405533,2841256321,34.000,5.564,moderate,C,1.75,40.00,22.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2846,2841256321,366463743,40.000,4.500,heavy,D,2.50,40.00,32.00,secondary,Nguyễn Tri Phương,3,2020-12-24,period_13_30,train_los+latest_segment_status
2847,366463743,5057827203,52.000,5.850,heavy,D,2.50,40.00,32.00,secondary,Nguyễn Tri Phương,3,2020-12-25,period_7_30,train_los+latest_segment_status
2848,5057827203,2934006870,56.000,10.611,severe,E,4.00,40.00,19.00,secondary,Nguyễn Tri Phương,3,2021-01-03,period_1_30,train_los+latest_segment_status
2849,2934006870,5057828137,48.000,5.400,moderate,C,1.75,40.00,32.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2850,5057828137,5817378547,29.000,4.745,heavy,D,2.50,40.00,22.00,secondary,Nguyễn Tri Phương,3,2021-01-03,period_1_30,train_los+latest_segment_status
2851,5817378547,5780574569,29.000,104.400,severe,E,4.00,40.00,1.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2852,5780574569,3150110708,24.000,21.600,gridlock,F,8.00,40.00,4.00,secondary,Nguyễn Tri Phương,3,2021-01-03,period_1_30,train_los+latest_segment_status
2853,3150110708,4623078287,57.000,9.771,heavy,D,2.50,40.00,21.00,secondary,Nguyễn Tri Phương,3,2020-12-25,period_7_30,train_los+latest_segment_status
2854,4623078287,5050082271,73.000,8.477,moderate,C,1.75,40.00,31.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2855,5050082271,366392714,63.000,10.309,heavy,D,2.50,40.00,22.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2856,366392714,5050082265,49.000,7.350,heavy,D,2.50,40.00,24.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2857,5050082265,3150110709,38.000,5.472,moderate,C,1.75,40.00,25.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2858,3150110709,366439630,32.000,3.200,moderate,C,1.75,40.00,36.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2859,366439630,5050082316,35.000,3.818,heavy,D,2.50,40.00,33.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
2860,5050082316,2934006860,54.000,5.891,heavy,D,2.50,40.00,33.00,secondary,Nguyễn Tri Phương,3,2020-08-03,period_0_00,train_los+latest_segment_status
