edge_id,source_node_id,target_node_id,distance_m,estimated_time_s,congestion_level,los,congestion_factor,free_flow_speed_kph,actual_speed_kph,road_type,street_name,street_level,date,time_period,source_row_id
14998,4658499310,4583475971,23,3.549,heavy,D,3,70,23.333,tertiary,Ngô Nhân Tịnh,4,2020-08-02,period_23_30,5177
14999,4583475971,4658499310,23,9.463,gridlock,F,8,70,8.75,tertiary,Ngô Nhân Tịnh,4,2020-08-02,period_23_30,5179
15856,366468340,3160543547,86,8.846,moderate,C,2,70,35.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,5934
15857,3160543547,366468340,86,22.114,severe,E,5,70,14.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,5936
15858,3160543547,366371126,13,3.343,severe,E,5,70,14.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,5938
15859,366371126,3160543547,13,3.343,severe,E,5,70,14.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,5940
15860,366371126,366368264,103,10.594,moderate,C,2,70,35.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,5942
15861,366368264,366371126,103,10.594,moderate,C,2,70,35.0,tertiary,Nguyễn Thị Nhỏ,4,2020-08-02,period_23_30,5944
29155,3160564528,4627815557,21,3.24,heavy,D,3,70,23.333,secondary,Hải Thượng Lãn Ông,3,2020-08-02,period_23_30,10441
29168,1996654081,4567915163,41,2.109,light,B,1,70,70.0,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10467
29169,4567915163,1996654081,41,10.543,severe,E,5,70,14.0,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10469
29170,4567915163,366429233,52,5.349,moderate,C,2,70,35.0,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10471
29171,366429233,4567915163,52,8.023,heavy,D,3,70,23.333,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10473
29172,366429233,3160543548,26,4.011,heavy,D,3,70,23.333,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10475
29173,3160543548,366429233,26,6.686,severe,E,5,70,14.0,tertiary,Phú Hữu,4,2020-08-02,period_23_30,10477
