node_id,name,latitude,longitude,node_type
366368264,Nút giao Hồng Bàng - Nguyễn Thị Nhỏ,10.7533034,106.6507117,intersection
366371126,Điểm trên đường Nguyễn Thị Nhỏ,10.7523777,106.6506001,road_point
366409794,Điểm trên đường Trang Tử,10.7516488,106.6531665,road_point
366429233,Nút giao Nguyễn Trãi - Phú Hữu,10.7527545,106.6535477,intersection
366440116,Điểm trên đường Nguyễn Trãi,10.7527905,106.6544253,road_point
366453620,Điểm trên đường Phú Hữu,10.7521005,106.6533773,road_point
366468340,Nút giao Nguyễn Thị Nhỏ - Trang Tử,10.7514819,106.6504956,intersection
1996654081,Điểm trên đường Phú Hữu,10.7535742,106.6537519,road_point
1996654183,Điểm trên đường Phú Hữu,10.7535754,106.653784,road_point
1996654934,Nút giao Phú Hữu - Trang Tử,10.7516644,106.6532793,intersection
1996655115,Điểm trên đường Phú Hữu,10.7535856,106.6538143,road_point
1996655300,Điểm trên đường Đường Hồng Bàng,10.7536291,106.6538599,road_point
1996745106,Điểm trên đường Trang Tử,10.7514999,106.6518036,road_point
1996745606,Nút giao Hồng Bàng - Phạm Đình Hổ,10.753419,106.649744,intersection
3160543547,Điểm trên đường Nguyễn Thị Nhỏ,10.7522556,106.650586,road_point
3160543548,Điểm trên đường Phú Hữu,10.7525266,106.6534845,road_point
3160564528,Nút giao Hải Thượng Lãn Ông - Tháp Mười,10.7507545,106.6545334,intersection
4202268830,Nút giao Hồng Bàng - Quận 11,10.753578,106.6497631,intersection
4567915163,Điểm trên đường Phú Hữu,10.7532087,106.653664,road_point
4583475971,Nút giao Ngô Nhân Tịnh - Phú Hữu,10.7506686,106.6533293,intersection
4583483799,Điểm trên đường Trang Tử,10.7515743,106.6495842,road_point
4613947559,Nút giao Phú Hữu - Đường Hồng Bàng,10.7536041,106.6538404,intersection
4627815557,Điểm trên đường Hải Thượng Lãn Ông,10.7508046,106.6547273,road_point
4658499310,Nút giao Ngô Nhân Tịnh - Tháp Mười,10.7504649,106.6533788,intersection
4851518980,Điểm trên đường Lê Quang Sung,10.7510858,106.6539275,road_point
4851518981,Nút giao Lê Quang Sung - Phú Hữu,10.7510733,106.6533152,intersection
5778381627,Điểm trên đường Nguyễn Chí Thanh,10.7563989,106.6514369,road_point
5778381629,Điểm trên đường Đường Nguyễn Thị Nhỏ,10.7533959,106.6507301,road_point
5778381632,Nút giao Nguyễn Chí Thanh - Nguyễn Thị Nhỏ,10.756343,106.6510842,intersection
5778381633,Điểm trên đường Nguyễn Thị Nhỏ,10.7561038,106.6510563,road_point
5778381634,Điểm trên đường Nguyễn Thị Nhỏ,10.7553137,106.6509642,road_point
5778381635,Điểm trên đường Nguyễn Thị Nhỏ,10.7551906,106.6509499,road_point
5778381636,Điểm trên đường Nguyễn Thị Nhỏ,10.7547833,106.6509024,road_point
5778381637,Điểm trên đường Nguyễn Thị Nhỏ,10.7544346,106.6508617,road_point
5778381638,Nút giao Hồng Bàng - Nguyễn Thị Nhỏ,10.753478,106.6507502,intersection
5802782527,Điểm trên đường Trang Tử,10.7515795,106.6525584,road_point
5802782528,Điểm trên đường Trang Tử,10.7515324,106.652168,road_point
5813814373,Điểm trên đường Phạm Đình Hổ,10.7530855,106.6497534,road_point
5813814385,Điểm trên đường Hồng Bàng,10.753329,106.6504975,road_point
5813814396,Điểm trên đường Hồng Bàng,10.7535059,106.6504751,road_point
