_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode
5177,14998,2020-08-02,6,period_23_30,D,4658499310,4583475971,23,32587364,,4,Ngô Nhân Tịnh,tertiary,106.6533788,10.7504649,106.6533293,10.7506686
5179,14999,2020-08-02,6,period_23_30,F,4583475971,4658499310,23,32587364,,4,Ngô Nhân Tịnh,tertiary,106.6533293,10.7506686,106.6533788,10.7504649
5934,15856,2020-08-02,6,period_23_30,C,366468340,3160543547,86,32588270,,4,Nguyễn Thị Nhỏ,tertiary,106.6504956,10.7514819,106.650586,10.7522556
5936,15857,2020-08-02,6,period_23_30,E,3160543547,366468340,86,32588270,,4,Nguyễn Thị Nhỏ,tertiary,106.650586,10.7522556,106.6504956,10.7514819
5938,15858,2020-08-02,6,period_23_30,E,3160543547,366371126,13,32588270,,4,Nguyễn Thị Nhỏ,tertiary,106.650586,10.7522556,106.6506001,10.7523777
5940,15859,2020-08-02,6,period_23_30,E,366371126,3160543547,13,32588270,,4,Nguyễn Thị Nhỏ,tertiary,106.6506001,10.7523777,106.650586,10.7522556
5942,15860,2020-08-02,6,period_23_30,C,366371126,366368264,103,32588270,,4,Nguyễn Thị Nhỏ,tertiary,106.6506001,10.7523777,106.6507117,10.7533034
5944,15861,2020-08-02,6,period_23_30,C,366368264,366371126,103,32588270,,4,Nguyễn Thị Nhỏ,tertiary,106.6507117,10.7533034,106.6506001,10.7523777
10441,29155,2020-08-02,6,period_23_30,D,3160564528,4627815557,21,189017054,,3,Hải Thượng Lãn Ông,secondary,106.6545334,10.7507545,106.6547273,10.7508046
10467,29168,2020-08-02,6,period_23_30,B,1996654081,4567915163,41,189017060,,4,Phú Hữu,tertiary,106.6537519,10.7535742,106.653664,10.7532087
10469,29169,2020-08-02,6,period_23_30,E,4567915163,1996654081,41,189017060,,4,Phú Hữu,tertiary,106.653664,10.7532087,106.6537519,10.7535742
10471,29170,2020-08-02,6,period_23_30,C,4567915163,366429233,52,189017060,,4,Phú Hữu,tertiary,106.653664,10.7532087,106.6535477,10.7527545
10473,29171,2020-08-02,6,period_23_30,D,366429233,4567915163,52,189017060,,4,Phú Hữu,tertiary,106.6535477,10.7527545,106.653664,10.7532087
10475,29172,2020-08-02,6,period_23_30,D,366429233,3160543548,26,189017060,,4,Phú Hữu,tertiary,106.6535477,10.7527545,106.6534845,10.7525266
10477,29173,2020-08-02,6,period_23_30,E,3160543548,366429233,26,189017060,,4,Phú Hữu,tertiary,106.6534845,10.7525266,106.6535477,10.7527545
10479,29174,2020-08-02,6,period_23_30,F,3160543548,366453620,48,189017060,,4,Phú Hữu,tertiary,106.6534845,10.7525266,106.6533773,10.7521005
10481,29175,2020-08-02,6,period_23_30,E,366453620,3160543548,48,189017060,,4,Phú Hữu,tertiary,106.6533773,10.7521005,106.6534845,10.7525266
10483,29176,2020-08-02,6,period_23_30,F,366453620,1996654934,49,189017060,,4,Phú Hữu,tertiary,106.6533773,10.7521005,106.6532793,10.7516644
